Name,Quantity,Component
"U1",1," Arduino Uno R3"
"PIR1",1,"24.107810434991507 , -188.9548871006494 , -214.67135700226294 , -193.89528773207073  PIR Sensor"
"PIEZO1",1," Piezo"
"R2",1,"220 Ω Resistor"
